Year,Month,Day,Wind_speed,Surf_Pressure,Precipitation,R_Humidity,T_Max,T_Min,Dew
1982,1,1,2.13,98.34,3.27,72.38,34.26,22.54,21.43
1982,1,2,1.49,98.23,3.52,72,33.26,22.41,21
1982,1,3,1.55,98.28,6.01,71.81,33.15,22.24,20.71
1982,1,4,1.87,98.33,7.64,71.69,32.55,21.74,20.33
1982,1,5,2.39,98.33,1.1,64.12,32.73,20.91,17.32
1982,1,6,2.38,98.42,0.03,60.69,31.86,18.65,15.68
1982,1,7,2.77,98.48,0,51.75,32.4,18.76,12.71
1982,1,8,1.91,98.55,0,56.06,32.56,20.02,14.83
1982,1,9,2.63,98.63,0,60.44,32.51,19.96,16.02
1982,1,10,2.76,98.56,0,54.88,32.83,18.19,14.11
1982,1,11,1.55,98.44,0,59.31,33.16,19.35,15.72
1982,1,12,2.48,98.4,0,70.94,33.37,20.28,19.71
1982,1,13,1.84,98.43,0,70.75,33.12,21.84,20.54
1982,1,14,1.95,98.32,0,67.5,34.8,21.87,20.15
1982,1,15,2.59,98.26,0,67.12,34.79,22.29,20.15
1982,1,16,2.59,98.29,13.77,71.56,33.66,22.79,21.26
1982,1,17,2.45,98.36,4.57,73.81,32.7,22.71,21.4
1982,1,18,2.98,98.39,13.51,76.94,32.31,22.77,21.76
1982,1,19,2.22,98.46,13.29,79.81,30.69,22.65,22.01
1982,1,20,2.86,98.46,13.14,83.94,29.06,23.08,22.3
1982,1,21,2.62,98.51,0.78,77.69,28.09,22.23,20.51
1982,1,22,2.7,98.55,0.02,67.31,29.15,20.35,16.87
1982,1,23,3.51,98.5,0,54.06,29.15,18.23,11.76
1982,1,24,2.91,98.46,0,50.38,31.2,18.51,12.1
1982,1,25,2.05,98.42,0,50.88,32.58,18.98,13.35
1982,1,26,2.54,98.49,0,54,32.97,19.42,14.56
1982,1,27,2.33,98.52,0,49.75,34.33,20.4,14.3
1982,1,28,2.45,98.58,0,59.5,33.7,20.8,16.49
1982,1,29,1.7,98.56,0,59.69,32.71,20.87,16.68
1982,1,30,2.41,98.6,0,66.69,32.93,21,18.22
1982,1,31,1.79,98.54,0,59.25,34.49,21.16,16.64
1982,2,1,1.89,98.48,0,70.56,33.65,20.5,20.01
1982,2,2,1.87,98.28,0,68.19,34.43,21.98,20.23
1982,2,3,2.61,98.2,0,68.88,34.83,22.01,20.43
1982,2,4,2.58,98.3,0,69.62,34.24,22.89,20.88
1982,2,5,2.32,98.33,0.02,67.25,35.21,22.61,20.48
1982,2,6,2.62,98.34,0.01,67.44,35.05,22.79,20.19
1982,2,7,2.57,98.33,0.01,69.31,34.29,23.07,20.78
1982,2,8,2.7,98.4,0.01,73.75,29.93,23.04,20.85
1982,2,9,2.5,98.43,0.02,65.06,33.61,20.62,17.78
1982,2,10,2.07,98.5,0,60.88,34.12,20.38,16.11
1982,2,11,2.23,98.47,0,58.69,35.04,18.89,15.61
1982,2,12,2.7,98.47,0,63.12,35.02,19.74,17.64
1982,2,13,2.98,98.45,0,66,35.37,21.98,19.79
1982,2,14,2.82,98.39,0,66.25,34.89,22.73,20.44
1982,2,15,3.28,98.34,27.33,76.25,32.12,22.96,21.81
1982,2,16,3.12,98.3,40.87,80,31.03,22.86,22
1982,2,17,2.88,98.27,17.85,82.31,30.24,22.37,22.1
1982,2,18,2.35,98.23,8.82,78.31,32.43,21.43,21.85
1982,2,19,2.27,98.23,27.65,82.94,29.73,22.58,22.87
1982,2,20,2.02,98.35,0.18,82,30.45,22.87,22.37
1982,2,21,2.28,98.44,0.22,80.12,29.96,22.98,21.8
1982,2,22,2.19,98.37,0.2,78.88,30.48,21.42,20.94
1982,2,23,2.19,98.39,0.23,82,27.08,21.78,20.76
1982,2,24,2.49,98.4,0.57,78.94,29.9,21.9,21.03
1982,2,25,2.9,98.54,0.06,82,27.86,21.99,20.91
1982,2,26,2.39,98.52,0.11,77.19,30.08,21.6,20.65
1982,2,27,2.3,98.44,0.02,75.62,32.18,22.05,21.42
1982,2,28,2.43,98.45,0.12,77.44,30.17,22.74,21.82
1982,3,1,2.97,98.57,0.05,75.62,31.63,22.54,21.37
1982,3,2,2.51,98.59,0.68,71.44,33.71,21.76,20.6
1982,3,3,2.63,98.48,0.92,73.94,33.04,21.92,21.08
1982,3,4,3.19,98.45,1.3,68.56,33.24,22,19.18
1982,3,5,2.84,98.45,0.21,56.88,34.02,19.71,15.19
1982,3,6,2.61,98.42,0.08,63.12,34.94,18.6,17.01
1982,3,7,2.96,98.4,0.06,67.56,35.37,20.39,19.32
1982,3,8,2.83,98.31,0.2,68.19,34.79,22.82,20.35
1982,3,9,3.15,98.16,0.19,68.31,36.01,22.52,20.8
1982,3,10,3.74,98.15,0.26,69.75,34.71,23.13,21.4
1982,3,11,3.87,98.32,0.26,77.88,29.85,23.7,21.76
1982,3,12,2.18,98.42,1.8,74.69,32.64,22.61,21.1
1982,3,13,0.82,98.5,16.09,74.06,29.37,23.44,20.96
1982,3,14,2.45,98.36,4.49,77.12,31.01,21.94,21.5
1982,3,15,2.59,98.26,4.6,76,32.51,22.54,21.8
1982,3,16,2.67,98.23,3.56,77.44,31.8,22.92,22.01
1982,3,17,4.46,98.3,2.14,75.5,32.57,23.02,21.44
1982,3,18,2.88,98.35,0.84,73.12,33.34,21.76,20.87
1982,3,19,2.32,98.37,1.31,77.81,31.05,22.93,21.8
1982,3,20,2.69,98.39,3.62,80,30.61,23.35,22.01
1982,3,21,1.87,98.28,3.34,76.06,32.64,22.33,21.72
1982,3,22,1.66,98.27,24.27,80.31,31.92,22.49,22.47
1982,3,23,2.58,98.28,5.03,79.88,31.23,22.48,21.95
1982,3,24,2.34,98.32,12.19,78.25,31.47,22.49,21.74
1982,3,25,2.5,98.36,4.96,78.69,32.15,22.28,21.98
1982,3,26,2.83,98.39,10.12,79.19,32.83,22.71,22.47
1982,3,27,3.24,98.36,1.87,78.38,33.06,22.29,22.33
1982,3,28,2.92,98.37,4.45,82.69,30.95,23.03,22.95
1982,3,29,2.66,98.49,2.5,87.06,28.15,23.26,22.89
1982,3,30,2.7,98.55,1.56,82.81,27.51,22.3,21.3
1982,3,31,2.48,98.43,0.29,78.06,32.15,21.79,22.18
1982,4,1,2.7,98.36,0.07,76.19,33.58,22.74,22.46
1982,4,2,2.74,98.39,0.09,74.94,33.65,23.4,22.53
1982,4,3,2.88,98.38,0.11,73.94,34.33,23.18,22.33
1982,4,4,3.12,98.38,0.15,72.06,34.83,22.7,21.82
